GRIMM Diameter, Qscat (1.54 + 0.01)
   3.62, 4.87039899826
   3.63, 4.85437583923
   3.64, 4.84317541122
   3.65, 4.83659172058
   3.66,   4.835709095
   3.67, 4.84160900116
   3.68, 4.85378694534
   3.69, 4.86928939819
    3.7, 4.88980817795
   3.71, 4.91843175888
   3.72, 4.94723367691
   3.73, 4.96099090576
   3.74, 4.94819164276
   3.75, 4.91216945648
   3.76, 4.86943864822
   3.77, 4.83200120926
   3.78,   4.801820755
   3.79, 4.77746105194
    3.8, 4.75905370712
   3.81, 4.74909687042
   3.82, 4.75032901764
   3.83, 4.76298809052
   3.84, 4.78502035141
   3.85, 4.81754255295
   3.86, 4.86105680466
   3.87, 4.90965843201
   3.88, 4.95136117935
   3.89, 4.97324228287
    3.9,  4.9741601944
   3.91, 4.96645355225
   3.92, 4.96058607101
   3.93, 4.95765256882
   3.94, 4.95336484909
   3.95, 4.94531774521
   3.96, 4.93682193756
   3.97, 4.93470859528
   3.98, 4.94396781921
   3.99, 4.96632003784
      4, 5.00353479385
   4.01,  5.0554227829
   4.02, 5.11857271194
   4.03, 5.18544387817
   4.04, 5.24411821365
   4.05, 5.28675746918
   4.06, 5.31779527664
   4.07, 5.34729385376
   4.08, 5.38033866882
   4.09, 5.41431427002
    4.1, 5.44351911545
   4.11, 5.46598768234
   4.12, 5.48599243164
   4.13, 5.51003789902
   4.14, 5.54323005676
   4.15, 5.58783197403
   4.16, 5.64230012894
   4.17, 5.70279550552
   4.18, 5.76417732239
   4.19, 5.82060289383
    4.2, 5.86759233475
   4.21, 5.90471887589
   4.22, 5.93509674072
   4.23, 5.96126508713
   4.24, 5.98218297958
   4.25, 5.99405241013
   4.26, 5.99488306046
   4.27, 5.98879623413
   4.28, 5.98430585861
   4.29, 5.98976516724
    4.3, 6.00904321671
   4.31, 6.04018259048
   4.32, 6.07773208618
   4.33, 6.11564350128
   4.34, 6.15118837357
   4.35, 6.18686151505
   4.36, 6.22488880157
   4.37, 6.26191282272
   4.38, 6.29165220261
   4.39, 6.30833911896
    4.4, 6.30681276321
   4.41, 6.28462409973
   4.42, 6.24692201614
   4.43, 6.20652008057
   4.44, 6.17706918716
   4.45, 6.16638660431
   4.46, 6.17545461655
   4.47, 6.20011758804
   4.48, 6.23295497894
   4.49,   6.266913414
    4.5, 6.30118465424
   4.51, 6.34249639511
   4.52, 6.39436864853
   4.53, 6.45087814331
   4.54, 6.50223016739
   4.55, 6.53787469864
   4.56, 6.54691314697
   4.57, 6.52455663681
   4.58, 6.48062849045
   4.59, 6.43450546265
    4.6, 6.40180921555
   4.61, 6.38963603973
   4.62,  6.3979845047
   4.63, 6.42203569412
   4.64, 6.45440816879
   4.65, 6.49062204361
   4.66, 6.53539228439
   4.67, 6.59566068649
   4.68, 6.66871023178
   4.69, 6.74527597427
    4.7, 6.81535243988
   4.71, 6.86806821823
   4.72, 6.89347457886
   4.73, 6.89153623581
   4.74, 6.87545347214
   4.75, 6.86120462418
   4.76, 6.85864877701
   4.77, 6.87118434906
   4.78, 6.89718198776
   4.79, 6.93084001541
    4.8, 6.96620321274
   4.81, 7.00640535355
   4.82, 7.06263971329
   4.83, 7.13798713684
   4.84,  7.2245426178
   4.85, 7.31190824509
   4.86, 7.38923454285
   4.87, 7.44429969788
   4.88, 7.46904659271
   4.89, 7.46892309189
    4.9, 7.45865774155
   4.91, 7.45040845871
   4.92, 7.45053052902
   4.93, 7.46093034744
   4.94, 7.47930383682
   4.95, 7.50058317184
   4.96, 7.52485609055
   4.97, 7.56206178665
   4.98, 7.61889362335
   4.99, 7.68983888626
      5, 7.76409816742
   5.01, 7.83081436157
   5.02, 7.87901639938
   5.03, 7.90005970001
   5.04, 7.89459609985
   5.05, 7.87159490585
   5.06, 7.83938407898
   5.07, 7.80308151245
   5.08,  7.7665309906
