GRIMM Diameter, Qscat (1.54 + 0)
   3.23, 6.75736236572
   3.24, 7.41332960129
   3.25, 7.33000564575
   3.26, 7.36553382874
   3.27, 7.47440862656
   3.28, 7.41621875763
   3.29,  7.2957367897
    3.3, 7.40139961243
   3.31, 7.02763462067
   3.32, 7.00508213043
   3.33, 7.00332593918
   3.34, 7.00847864151
   3.35, 7.02217197418
   3.36, 7.05331277847
   3.37, 7.11965608597
   3.38, 7.26323509216
   3.39, 7.97355937958
    3.4, 7.67203712463
   3.41, 7.98912191391
   3.42, 8.31618499756
   3.43, 8.39761829376
   3.44, 8.28662395477
   3.45, 9.54327011108
   3.46, 7.90219211578
   3.47, 7.87348747253
   3.48, 7.84234380722
   3.49, 7.80151033401
    3.5, 7.75465774536
   3.51, 7.71472501755
   3.52, 7.70093202591
   3.53, 7.75693893433
   3.54, 9.22698020935
   3.55, 7.85858011246
   3.56, 8.15848827362
   3.57, 8.56450271606
   3.58,  8.8256483078
   3.59, 8.78247833252
    3.6, 8.42669868469
   3.61, 8.34409427643
   3.62, 8.31437683105
   3.63,  8.2922039032
   3.64, 8.24039649963
   3.65, 8.15761947632
   3.66,  8.0673456192
   3.67, 7.99999094009
   3.68, 8.01101112366
   3.69, 8.46007061005
    3.7, 7.99450922012
   3.71, 8.24793720245
   3.72,  8.6947183609
   3.73, 9.17857170105
   3.74, 9.27817153931
   3.75, 8.80765628815
   3.76, 8.60541248322
   3.77, 8.55848407745
   3.78, 8.57264328003
   3.79, 8.54650783539
    3.8, 8.44414997101
   3.81, 8.30048751831
   3.82, 8.17371559143
   3.83, 8.15221881866
   3.84,  8.0035572052
   3.85, 8.05914878845
   3.86, 8.24239253998
   3.87, 8.62907028198
   3.88, 9.26369857788
   3.89, 10.0178318024
    3.9, 9.28381061554
   3.91, 9.01102161407
   3.92,  9.0057516098
   3.93,  9.1593542099
   3.94, 9.30162525177
   3.95, 9.29133605957
   3.96, 9.12921047211
   3.97, 8.92419147491
   3.98, 8.94099903107
   3.99, 8.61251735687
      4, 8.59540653229
   4.01, 8.67732524872
   4.02, 8.92137908936
   4.03, 9.47916412354
   4.04, 10.2126750946
   4.05, 10.1136379242
   4.06, 9.71538066864
   4.07, 9.65216732025
   4.08, 9.86340332031
   4.09, 10.2083892822
    4.1, 10.4619636536
   4.11, 10.4539852142
   4.12, 10.2751941681
   4.13, 10.0893039703
   4.14, 9.91195583344
   4.15, 9.86301898956
   4.16, 9.89978218079
   4.17,   10.04961586
   4.18,  11.967757225
   4.19, 11.1817445755
    4.2, 11.4535140991
   4.21, 10.9251346588
   4.22, 10.7447547913
   4.23, 10.8755292892
   4.24, 11.2209663391
   4.25, 11.6286334991
   4.26, 11.7649240494
   4.27, 11.5575037003
   4.28, 11.2010126114
   4.29, 10.9674444199
    4.3, 10.8404302597
   4.31, 10.8128070831
   4.32, 10.8853816986
   4.33, 11.1013526917
   4.34, 11.6409749985
   4.35, 12.2384614944
   4.36, 11.7046461105
   4.37, 11.4906396866
   4.38, 11.5951547623
   4.39, 11.9059581757
    4.4, 12.3918018341
   4.41, 12.7673397064
   4.42, 12.7609643936
   4.43, 12.0864439011
   4.44, 11.7072372437
   4.45, 11.4680757523
   4.46, 11.3498744965
   4.47, 11.7303218842
   4.48, 11.5036897659
   4.49, 11.9615707397
    4.5, 12.9084815979
   4.51, 12.1898059845
   4.52, 11.8229255676
   4.53, 11.9434938431
   4.54, 12.2824239731
   4.55, 12.8699731827
   4.56, 13.6851911545
   4.57,  13.937625885
   4.58, 13.2648010254
   4.59, 12.6717157364
    4.6, 12.3106575012
   4.61, 12.0966596603
   4.62, 12.0092868805
   4.63, 12.0574502945
   4.64, 12.3467569351
   4.65, 13.3231601715
   4.66, 12.9283618927
   4.67, 12.2938737869
   4.68, 12.3777484894
   4.69, 12.6612348557
    4.7, 13.1465129852
   4.71, 14.1019182205
   4.72, 15.0408811569
   4.73,  14.693572998
   4.74, 13.9821472168
   4.75, 13.6103668213
   4.76, 13.3792390823
   4.77, 13.2473964691
   4.78, 13.2292156219
   4.79, 13.4045610428
    4.8,  14.187297821
   4.81, 14.4069375992
   4.82, 13.2730236053
   4.83, 13.3229980469
   4.84, 13.5569705963
   4.85, 13.9367246628
   4.86, 14.6205997467
   4.87, 15.9431667328
   4.88,  16.504650116
   4.89, 15.4531383514
    4.9, 15.0311479568
   4.91, 14.8076448441
   4.92, 14.6359500885
   4.93,  14.540643692
   4.94, 14.5966320038
   4.95, 15.1041526794
   4.96, 16.1452503204
   4.97, 14.2899723053
   4.98, 14.3300132751
   4.99, 14.5322532654
      5, 14.8384428024
   5.01,  15.316775322
   5.02,  16.303565979
   5.03, 17.8724918365
   5.04, 16.7020778656
   5.05, 16.2369937897
   5.06, 16.0787067413
   5.07, 15.8587636948
   5.08, 15.6344337463
