GRIMM Diameter, Qscat (1.33 + 0)
   2.88, 5.09360456467
   2.89, 5.33938360214
    2.9, 5.51763916016
   2.91, 5.55492115021
   2.92, 5.47031879425
   2.93, 5.34925460815
   2.94, 5.24780464172
   2.95, 5.16614532471
   2.96, 5.07967853546
   2.97, 4.97131061554
   2.98, 4.84430551529
   2.99, 4.71709394455
      3, 4.61218214035
   3.01, 4.54913425446
   3.02, 4.54395580292
   3.03, 4.61134719849
   3.04, 4.76551866531
   3.05, 5.01349449158
   3.06, 5.33061790466
   3.07, 5.62296867371
   3.08, 5.75719261169
   3.09, 5.71113824844
    3.1, 5.60333204269
   3.11, 5.53115940094
   3.12, 5.49985647202
   3.13, 5.46448278427
   3.14, 5.38404941559
   3.15, 5.25233268738
   3.16, 5.09544849396
   3.17, 4.94950580597
   3.18, 4.84423112869
   3.19, 4.80082130432
    3.2, 4.83741140366
   3.21, 4.97472667694
   3.22, 5.23520708084
   3.23,  5.6196231842
   3.24, 6.03890943527
   3.25, 6.28290653229
   3.26, 6.24826049805
   3.27, 6.10528087616
   3.28, 6.03088378906
   3.29, 6.04958581924
    3.3, 6.09184885025
   3.31, 6.07346630096
   3.32, 5.95843839645
   3.33, 5.77559757233
   3.34, 5.58104372025
   3.35, 5.41996240616
   3.36, 5.31862306595
   3.37, 5.29446172714
   3.38, 5.36765813828
   3.39, 5.56828832626
    3.4, 5.92463302612
   3.41, 6.38731956482
   3.42, 6.70753574371
   3.43, 6.66494035721
   3.44, 6.45732831955
   3.45, 6.34799146652
   3.46, 6.38975715637
   3.47, 6.50523757935
   3.48, 6.56933450699
   3.49,  6.4957485199
    3.5, 6.30183362961
   3.51, 6.06778860092
   3.52, 5.86101531982
   3.53, 5.71547269821
   3.54, 5.64754772186
   3.55, 5.67515659332
   3.56, 5.83153533936
   3.57,  6.1666932106
   3.58, 6.67953777313
   3.59,  7.0981054306
    3.6, 7.03863525391
   3.61, 6.73511457443
   3.62, 6.56764030457
   3.63, 6.61081266403
   3.64, 6.78320360184
   3.65, 6.92563533783
   3.66, 6.88603496552
   3.67,  6.6610326767
   3.68, 6.37002468109
   3.69,  6.1137881279
    3.7,  5.9322476387
   3.71, 5.83537197113
   3.72, 5.83370161057
   3.73, 5.95787334442
   3.74, 6.27101707458
