Cdia, CQs, CSQs, Mdia, MQs, MSQs
1.320000, 1.344764, 1.691189, 1.320000, 2.051620, 1.843074
1.330000, 1.376994, 1.707288, 1.330000, 2.048203, 1.864884
1.340000, 1.408347, 1.723375, 1.340000, 2.005783, 1.886807
1.350000, 1.438759, 1.739450, 1.350000, 1.953107, 1.908845
1.360000, 1.468242, 1.755513, 1.360000, 1.920971, 1.930996
1.370000, 1.496854, 1.771567, 1.370000, 1.938458, 1.953261
1.380000, 1.524677, 1.787611, 1.380000, 2.037891, 1.975639
1.390000, 1.551804, 1.803646, 1.390000, 2.237684, 1.998131
1.400000, 1.578330, 1.819674, 1.400000, 2.395297, 2.020737
1.410000, 1.604326, 1.835693, 1.410000, 2.191302, 2.043455
1.420000, 1.629827, 1.851706, 1.420000, 1.893440, 2.066287
1.430000, 1.654816, 1.867713, 1.430000, 1.799108, 2.089231
1.440000, 1.679231, 1.883714, 1.440000, 1.868105, 2.112289
1.450000, 1.703017, 1.899710, 1.450000, 2.026257, 2.135460
1.460000, 1.726176, 1.915702, 1.460000, 2.196601, 2.158743
1.470000, 1.748837, 1.931691, 1.470000, 2.286419, 2.182140
1.480000, 1.771255, 1.947677, 1.480000, 2.248641, 2.205648
1.490000, 1.793799, 1.963660, 1.490000, 2.129442, 2.229270
1.500000, 1.816846, 1.979641, 1.500000, 2.006405, 2.253004
1.510000, 1.840704, 1.995622, 1.510000, 1.931479, 2.276850
1.520000, 1.865544, 2.011602, 1.520000, 1.940853, 2.300809
1.530000, 1.891378, 2.027582, 1.530000, 2.089999, 2.324880
1.540000, 1.918055, 2.043563, 1.540000, 2.443135, 2.349064
1.550000, 1.945269, 2.059545, 1.550000, 2.619555, 2.373359
1.560000, 1.972543, 2.075528, 1.560000, 2.181199, 2.397767
1.570000, 1.999218, 2.091515, 1.570000, 1.913482, 2.422286
1.580000, 2.024400, 2.107504, 1.580000, 1.907301, 2.446918
1.590000, 2.046968, 2.123496, 1.590000, 2.061647, 2.471661
1.600000, 2.065636, 2.139493, 1.600000, 2.336896, 2.496517
1.610000, 2.079205, 2.155494, 1.610000, 2.659279, 2.521484
1.620000, 2.086958, 2.171500, 1.620000, 2.836677, 2.546562
1.630000, 2.089135, 2.187512, 1.630000, 2.754367, 2.571753
1.640000, 2.087195, 2.203530, 1.640000, 2.554003, 2.597054
1.650000, 2.083564, 2.219555, 1.650000, 2.383842, 2.622468
1.660000, 2.081048, 2.235587, 1.660000, 2.294775, 2.647993
1.670000, 2.082161, 2.251626, 1.670000, 2.319819, 2.673629
1.680000, 2.088731, 2.267673, 1.680000, 2.563135, 2.699377
1.690000, 2.101838, 2.283729, 1.690000, 3.105707, 2.725236
1.700000, 2.121936, 2.299795, 1.700000, 2.753809, 2.751206
1.710000, 2.149031, 2.315869, 1.710000, 2.218559, 2.777288
1.720000, 2.182780, 2.331954, 1.720000, 2.087970, 2.803480
1.730000, 2.222521, 2.348049, 1.730000, 2.142539, 2.829784
1.740000, 2.267195, 2.364155, 1.740000, 2.332022, 2.856199
1.750000, 2.315179, 2.380272, 1.750000, 2.683920, 2.882725
1.760000, 2.364034, 2.396401, 1.760000, 3.148452, 2.909362
1.770000, 2.410353, 2.412543, 1.770000, 3.336523, 2.936110
1.780000, 2.449928, 2.428696, 1.780000, 3.115014, 2.962968
1.790000, 2.478591, 2.444863, 1.790000, 2.853640, 2.989938
