CDP Diameter, Qscat (1.54 + 0.01)
   3.79, 4.71510982513
    3.8, 4.66352319717
   3.81, 4.61609649658
   3.82,  4.5718588829
   3.83, 4.53038644791
   3.84, 4.49183177948
   3.85, 4.45716047287
   3.86, 4.42858886719
   3.87, 4.40913295746
   3.88, 4.40248298645
   3.89, 4.41163778305
    3.9, 4.43495130539
   3.91, 4.46466207504
   3.92, 4.49321079254
   3.93, 4.52080392838
   3.94, 4.55276870728
   3.95, 4.59244060516
   3.96, 4.63905858994
   3.97, 4.68984270096
   3.98, 4.74250173569
   3.99, 4.79631376266
      4, 4.85195589066
   4.01, 4.91009044647
   4.02, 4.97133588791
   4.03, 5.03879547119
   4.04, 5.11774301529
   4.05, 5.21222257614
   4.06, 5.31884860992
   4.07, 5.42649030685
   4.08, 5.52852725983
   4.09, 5.62861156464
    4.1, 5.73366928101
   4.11, 5.84700775146
   4.12, 5.96679353714
   4.13, 6.08864498138
   4.14, 6.20917701721
   4.15, 6.32727098465
   4.16, 6.44179964066
   4.17, 6.55167293549
   4.18, 6.65827560425
   4.19, 6.76596784592
    4.2, 6.88120555878
   4.21, 7.00747394562
   4.22, 7.13831996918
   4.23,  7.2622127533
   4.24,  7.3748292923
   4.25, 7.48111009598
   4.26, 7.58835935593
   4.27,  7.7007856369
   4.28, 7.81748104095
   4.29, 7.93450832367
    4.3, 8.04801368713
   4.31, 8.15447711945
   4.32, 8.25149917603
   4.33, 8.33897304535
   4.34, 8.41909313202
   4.35,  8.4967212677
   4.36, 8.57798576355
   4.37, 8.66500759125
   4.38, 8.75075244904
   4.39, 8.82554721832
    4.4, 8.88662338257
   4.41, 8.93776893616
   4.42, 8.98505783081
   4.43, 9.03345584869
   4.44, 9.08429336548
   4.45,  9.1344871521
   4.46, 9.17862129211
   4.47, 9.21269321442
   4.48, 9.23540306091
   4.49, 9.24765396118
    4.5, 9.25220584869
   4.51, 9.25369167328
   4.52, 9.25788116455
   4.53, 9.26622200012
   4.54,  9.2728843689
   4.55, 9.27156734467
   4.56,  9.2602596283
   4.57, 9.24029922485
   4.58, 9.21541213989
   4.59,    9.19049263
    4.6, 9.16767311096
   4.61, 9.14392471313
   4.62, 9.11434268951
   4.63, 9.07567310333
   4.64, 9.02722930908
   4.65, 8.97031497955
   4.66, 8.90775966644
   4.67, 8.84424686432
   4.68, 8.78462028503
   4.69, 8.72980213165
    4.7, 8.67709636688
   4.71, 8.62401294708
   4.72, 8.56918716431
   4.73,  8.5119972229
   4.74, 8.45338344574
   4.75, 8.39576148987
   4.76,  8.3403301239
   4.77, 8.28478240967
   4.78, 8.22529506683
   4.79,  8.1595954895
    4.8, 8.08772182465
   4.81, 8.01158809662
   4.82, 7.93436908722
   4.83, 7.85960531235
   4.84, 7.78968858719
   4.85, 7.72551393509
   4.86, 7.66747665405
   4.87, 7.61602544785
   4.88, 7.57101869583
   4.89, 7.53102731705
    4.9, 7.49427604675
   4.91,  7.4601225853
   4.92, 7.42761516571
   4.93, 7.39391088486
   4.94, 7.35600042343
   4.95, 7.31292676926
   4.96, 7.26635551453
   4.97, 7.21961307526
   4.98, 7.17574834824
   4.99, 7.13594388962
