CDP Diameter, Qscat (1.33 + 0)
   6.17, 12.9191246033
   6.18, 12.8647489548
   6.19, 12.8257236481
    6.2, 12.8188781738
   6.21, 12.8518161774
   6.22, 12.9172258377
   6.23, 12.7051849365
   6.24, 12.7515182495
   6.25, 12.9071474075
   6.26,  12.961681366
   6.27, 12.9833984375
   6.28, 12.9850101471
   6.29, 12.9687423706
    6.3, 12.9324388504
   6.31, 12.8555812836
   6.32, 12.4760656357
   6.33, 12.6755456924
   6.34, 12.5890684128
   6.35, 12.4834318161
   6.36, 12.3823356628
   6.37, 12.3041219711
   6.38,  12.265504837
   6.39, 12.2693281174
    6.4,  11.891535759
   6.41, 12.1764554977
   6.42, 12.2625379562
   6.43,  12.290186882
   6.44, 12.2938070297
   6.45, 12.2814092636
   6.46,  12.253947258
   6.47, 12.2067527771
   6.48, 12.0861778259
   6.49, 12.0339698792
    6.5, 11.9851102829
   6.51, 11.8725194931
   6.52, 11.7426462173
   6.53, 11.6069469452
   6.54, 11.4814453125
   6.55, 11.3868789673
   6.56, 11.3311080933
   6.57, 11.0637302399
   6.58, 11.3200206757
   6.59, 11.3822908401
    6.6, 11.4128284454
   6.61, 11.4218864441
   6.62, 11.4135513306
   6.63, 11.3871030807
   6.64, 11.3323535919
   6.65, 11.0423049927
   6.66,  11.255645752
   6.67, 11.1471452713
   6.68, 11.0187511444
   6.69, 10.8705701828
    6.7, 10.7070064545
   6.71, 10.5393075943
   6.72, 10.3859195709
   6.73, 10.2370519638
   6.74, 10.2178287506
   6.75, 10.3019285202
   6.76, 10.3647537231
   6.77, 10.4193401337
   6.78,  10.458814621
   6.79, 10.4843540192
    6.8, 10.4925422668
   6.81, 10.4573688507
   6.82, 10.5140209198
   6.83, 10.5247974396
   6.84, 10.4427347183
   6.85, 10.3436021805
   6.86, 10.2181425095
   6.87, 10.0652780533
   6.88, 9.88939762115
   6.89, 9.69809341431
    6.9,  9.3781003952
   6.91, 9.57903575897
   6.92,  9.5841627121
   6.93, 9.65026473999
   6.94, 9.72459506989
   6.95, 9.78639888763
   6.96, 9.83685779572
   6.97, 9.87140369415
   6.98, 9.81665039062
   6.99, 10.1335029602
      7, 10.0675916672
   7.01, 10.0383033752
   7.02, 9.99174308777
   7.03, 9.91784191132
   7.04, 9.81171798706
   7.05, 9.66991424561
   7.06,  9.4781665802
   7.07,  8.9669380188
   7.08, 9.42447757721
   7.09, 9.42646980286
    7.1, 9.52993583679
   7.11, 9.65416908264
   7.12, 9.75874042511
   7.13, 9.84441566467
   7.14, 9.90495491028
   7.15,  9.5735168457
   7.16, 10.2396888733
   7.17, 10.2479782104
   7.18, 10.2620096207
   7.19, 10.2534971237
    7.2, 10.2149353027
   7.21, 10.1406297684
   7.22, 10.0210971832
   7.23, 9.80217075348
   7.24, 9.94365501404
   7.25, 9.78361701965
   7.26, 9.77786159515
   7.27, 9.91366004944
   7.28, 10.0989599228
   7.29, 10.2622394562
    7.3, 10.3984355927
   7.31, 10.4924793243
   7.32, 10.9820289612
   7.33, 10.9651298523
   7.34, 11.0638933182
   7.35, 11.1452770233
   7.36, 11.1931476593
   7.37, 11.2016191483
   7.38, 11.1647787094
   7.39, 11.0672044754
    7.4, 10.7400302887
   7.41,  10.970864296
   7.42, 10.7770280838
   7.43, 10.7094831467
   7.44, 10.8120326996
   7.45, 11.0092592239
   7.46, 11.1896038055
   7.47, 11.3309698105
   7.48, 11.3665094376
   7.49, 11.8267536163
    7.5, 11.9734458923
   7.51, 12.1464147568
   7.52,  12.296462059
   7.53, 12.4101238251
   7.54, 12.4815616608
   7.55, 12.5043792725
   7.56,  12.455532074
   7.57, 11.2270402908
   7.58, 12.3917703629
   7.59, 12.2124118805
    7.6, 12.0845775604
   7.61,  12.118555069
   7.62, 12.2973194122
   7.63, 12.4746828079
   7.64, 12.5890522003
   7.65, 11.7507400513
   7.66, 12.9746189117
   7.67, 13.1539011002
   7.68,  13.349650383
   7.69, 13.5273532867
    7.7,  13.671330452
   7.71, 13.7752113342
   7.72, 13.8332233429
   7.73, 13.8112735748
   7.74, 13.8850879669
   7.75, 13.8016633987
   7.76, 13.6547174454
   7.77, 13.4912014008
   7.78, 13.4380674362
   7.79, 13.5694026947
    7.8, 13.7441482544
   7.81, 13.8372745514
   7.82,  14.034201622
   7.83, 14.1339788437
   7.84, 14.3039941788
   7.85,   14.50593853
   7.86, 14.7033901215
   7.87, 14.8730688095
   7.88, 15.0045719147
   7.89, 15.0910129547
    7.9, 15.0410737991
   7.91, 15.1746063232
   7.92, 15.1282730103
   7.93, 15.0196256638
   7.94, 14.8509626389
   7.95,  14.706659317
   7.96,  14.731054306
   7.97, 14.8563394547
   7.98, 14.7680177689
   7.99, 15.0389585495
      8, 15.0917873383
   8.01, 15.1992826462
   8.02, 15.3631267548
   8.03,  15.552271843
   8.04, 15.7366580963
   8.05, 15.8992319107
   8.06,  16.028459549
   8.07, 15.9053573608
   8.08, 16.2056503296
   8.09, 16.2319164276
    8.1, 16.2071533203
   8.11, 16.1167869568
   8.12, 15.9778642654
   8.13, 15.9172620773
   8.14, 15.9730520248
   8.15, 16.0703258514
   8.16, 16.0921211243
   8.17, 16.0862884521
   8.18, 16.0932712555
   8.19, 16.1506919861
    8.2, 16.2544136047
   8.21, 16.3794326782
   8.22, 16.5060024261
   8.23, 16.6150588989
   8.24, 16.7244739532
   8.25, 16.8187351227
   8.26, 16.8873767853
   8.27, 16.9338493347
   8.28,  16.950422287
   8.29, 16.9207572937
    8.3, 16.8762302399
   8.31, 16.8699798584
   8.32, 16.9980773926
   8.33, 17.0660266876
   8.34, 17.0972690582
   8.35,  17.086566925
   8.36, 17.0712852478
   8.37,  17.084236145
   8.38, 17.1224880219
   8.39, 17.1701011658
    8.4, 16.7887210846
   8.41, 17.2701377869
   8.42, 17.3060340881
   8.43, 17.3339729309
   8.44, 17.3586425781
   8.45, 17.3897571564
   8.46, 17.4327468872
   8.47, 17.4494533539
   8.48, 17.4667301178
   8.49, 17.4987449646
    8.5, 17.5877685547
   8.51, 17.6900978088
   8.52, 17.7515983582
   8.53,  17.750333786
   8.54, 17.7273483276
   8.55, 17.7147102356
   8.56, 17.7066268921
   8.57, 17.7286701202
   8.58, 17.7203598022
   8.59, 17.7043476105
    8.6, 17.6766719818
   8.61, 17.6410598755
   8.62, 17.6146640778
   8.63, 17.6409492493
   8.64, 17.7116985321
   8.65, 17.7215862274
   8.66, 17.6681976318
   8.67, 17.6872138977
   8.68, 17.7781581879
   8.69, 17.8930282593
    8.7,  17.941570282
   8.71, 17.9046764374
   8.72, 17.8392829895
   8.73, 17.7072105408
   8.74, 17.7369232178
   8.75, 17.6749973297
   8.76, 17.6063308716
   8.77, 17.5243396759
   8.78, 17.4274215698
   8.79, 17.3255443573
    8.8, 17.2718982697
   8.81, 17.3901348114
   8.82, 17.4586811066
   8.83, 17.3552150726
   8.84, 17.2895545959
   8.85, 17.3135318756
   8.86, 17.4287281036
   8.87, 17.5527095795
   8.88, 17.5593070984
   8.89, 17.4702243805
    8.9, 17.3764972687
   8.91, 17.2482147217
   8.92, 17.1168785095
   8.93, 16.9742603302
   8.94, 16.8147563934
   8.95, 16.6331233978
   8.96,  16.428237915
   8.97, 16.2332782745
   8.98, 16.2324790955
   8.99, 16.3922729492
      9, 16.2735671997
   9.01, 16.1305027008
   9.02, 16.0639667511
   9.03, 16.1126022339
   9.04, 16.2817153931
   9.05, 16.4020500183
   9.06, 16.3639564514
   9.07, 16.3017749786
   9.08, 16.1850528717
   9.09, 16.0486183167
    9.1, 15.8908910751
   9.11, 15.7070064545
   9.12, 15.4895563126
   9.13, 15.2294988632
   9.14,  14.909070015
   9.15, 14.7306880951
   9.16, 14.9183683395
   9.17, 14.8026323318
   9.18, 14.5875616074
   9.19, 14.4196882248
    9.2, 14.3419408798
   9.21, 14.4322185516
   9.22, 14.6176099777
   9.23, 14.6746006012
   9.24, 14.6426305771
   9.25, 14.5708179474
   9.26, 14.4784584045
   9.27, 14.3671550751
   9.28, 14.2329273224
   9.29, 14.0676984787
    9.3, 13.8669929504
   9.31, 13.5661439896
   9.32, 13.2928628922
   9.33, 13.5036182404
   9.34, 13.4669618607
   9.35,  13.267127037
   9.36, 13.0848169327
   9.37, 12.9531078339
   9.38, 12.9474744797
   9.39, 13.1409902573
    9.4, 13.2539482117
   9.41, 13.2674427032
   9.42, 13.2368593216
   9.43, 13.1870498657
   9.44, 13.1231842041
   9.45, 13.0438461304
   9.46, 12.9438438416
   9.47, 12.7987804413
   9.48, 12.6014986038
   9.49, 12.3497180939
    9.5, 12.5948915482
   9.51, 12.6598854065
   9.52, 12.5401287079
   9.53, 12.4351215363
   9.54, 12.3713006973
   9.55,   12.39249897
   9.56, 12.6102876663
   9.57, 12.8433027267
   9.58, 12.9528388977
   9.59,  13.017375946
    9.6,  13.061589241
   9.61,  13.089466095
   9.62, 13.0993518829
   9.63, 13.0714426041
   9.64, 13.0361614227
   9.65, 12.9290037155
   9.66, 12.7537670135
   9.67, 13.0856218338
   9.68, 13.2033510208
   9.69, 13.1348819733
    9.7,  13.093170166
   9.71, 13.1002168655
   9.72, 13.2008800507
   9.73, 13.4964427948
   9.74, 13.8270101547
   9.75, 14.0194015503
   9.76,  14.182888031
   9.77, 14.3404340744
   9.78, 14.4910707474
   9.79, 14.6282167435
    9.8, 14.7494382858
   9.81,  14.831073761
   9.82, 14.8510770798
   9.83, 14.7886857986
   9.84, 15.3452863693
   9.85, 15.5376052856
   9.86, 15.5229101181
   9.87, 15.5394477844
   9.88, 15.5971212387
   9.89, 15.7219324112
    9.9, 16.1339817047
   9.91, 16.5857887268
   9.92, 16.7975177765
   9.93, 16.9834098816
   9.94, 17.1753997803
   9.95, 17.3702354431
   9.96,  17.580291748
   9.97, 17.7467021942
   9.98, 17.8961467743
   9.99, 17.9812145233
     10, 17.9467449188
  10.01,    18.7486763
  10.02, 19.0378379822
  10.03,  19.072473526
  10.04, 19.1458816528
  10.05, 19.1487178802
  10.06, 19.3999328613
  10.07, 19.8555011749
  10.08, 20.5532398224
  10.09, 20.8122959137
   10.1, 21.0099105835
  10.11, 21.2040748596
  10.12, 21.3888969421
  10.13, 21.5785770416
  10.14, 21.7374019623
  10.15, 21.8607559204
  10.16, 21.9051132202
  10.17, 21.7539787292
  10.18, 22.6268863678
  10.19, 22.9512329102
   10.2, 22.9384288788
  10.21, 22.9626274109
  10.22, 23.0276947021
  10.23, 23.0827331543
  10.24, 23.3499145508
  10.25, 24.2855739594
  10.26, 24.6075057983
  10.27, 24.8076477051
  10.28,   24.99376297
  10.29, 25.1789054871
   10.3, 25.3355484009
  10.31, 25.4708213806
  10.32, 25.5624675751
  10.33, 25.5608921051
  10.34, 25.2792339325
  10.35, 26.0502910614
  10.36, 26.3902645111
  10.37, 26.2945957184
  10.38, 26.2280960083
  10.39, 26.1394138336
   10.4, 26.0298118591
  10.41, 25.9014835358
  10.42,  26.829000473
  10.43, 27.1539554596
  10.44, 27.2694988251
  10.45,  27.348651886
  10.46, 27.4373588562
  10.47, 27.5013198853
  10.48, 27.5483341217
  10.49, 27.5628318787
   10.5, 27.4972248077
  10.51, 27.1183681488
  10.52, 27.6534442902
  10.53, 28.0055446625
  10.54, 27.8761863708
  10.55, 27.7365760803
  10.56, 27.5767173767
  10.57, 27.3661174774
  10.58, 26.9256839752
  10.59, 27.5674362183
   10.6, 27.8969841003
  10.61, 27.9164638519
  10.62, 27.8820343018
  10.63, 27.8183841705
  10.64, 27.7365264893
  10.65, 27.6375102997
  10.66, 27.5145969391
  10.67, 27.3332710266
  10.68, 26.8576087952
  10.69, 27.0483894348
   10.7, 27.3136444092
  10.71, 27.1440010071
  10.72, 26.9479408264
  10.73,  26.738275528
  10.74, 26.4922027588
  10.75, 25.9529457092
  10.76, 26.1197509766
  10.77, 26.4644241333
  10.78, 26.4434566498
  10.79, 26.3464870453
   10.8, 26.2156639099
  10.81, 26.0615100861
  10.82, 25.8875923157
  10.83, 25.6921348572
  10.84,  25.454366684
  10.85, 24.9704780579
  10.86, 24.8899612427
  10.87, 25.0230445862
