PCASP Diameter, Qscat (1.54 + 0.01)
   3.36, 4.81289625168
   3.37, 4.80451583862
   3.38, 4.81494903564
   3.39, 4.84310865402
    3.4, 4.88782072067
   3.41, 4.94733715057
   3.42, 5.01527547836
   3.43,  5.0772857666
   3.44, 5.12090301514
   3.45, 5.13241529465
   3.46, 5.10453367233
   3.47, 5.05027627945
   3.48, 4.99258089066
   3.49, 4.94699287415
    3.5, 4.91777324677
   3.51, 4.90357446671
   3.52, 4.90415668488
   3.53, 4.92158079147
   3.54, 4.95831155777
   3.55, 5.01543617249
   3.56,  5.0905175209
   3.57, 5.17487764359
   3.58,  5.2601017952
   3.59, 5.33518505096
    3.6, 5.38132858276
   3.61, 5.38779640198
   3.62, 5.36609077454
   3.63, 5.33907985687
   3.64, 5.31946277618
   3.65, 5.30532979965
   3.66, 5.29172468185
   3.67, 5.28006601334
   3.68, 5.27832221985
   3.69, 5.29568099976
    3.7, 5.33729743958
   3.71, 5.40083456039
   3.72, 5.47968578339
   3.73, 5.56520366669
   3.74, 5.63948106766
   3.75, 5.67833757401
   3.76,   5.671667099
   3.77, 5.63970899582
   3.78,  5.6122546196
   3.79, 5.59883356094
    3.8, 5.58883523941
   3.81, 5.56853580475
   3.82, 5.53566741943
   3.83, 5.50144672394
   3.84, 5.48137569427
   3.85, 5.48541545868
   3.86, 5.51646614075
   3.87, 5.57250833511
   3.88,  5.6438794136
   3.89, 5.71007347107
    3.9, 5.74286651611
   3.91, 5.72951316833
   3.92,  5.6916809082
   3.93, 5.66062784195
   3.94, 5.64650058746
   3.95, 5.63753795624
   3.96, 5.61632966995
   3.97, 5.57778215408
   3.98, 5.53467702866
   3.99, 5.50649213791
      4, 5.50750589371
   4.01, 5.54414081573
   4.02, 5.61381006241
   4.03, 5.70445489883
   4.04, 5.79179239273
   4.05, 5.84347200394
   4.06, 5.84631109238
   4.07, 5.82507181168
   4.08, 5.81236219406
   4.09, 5.81726360321
    4.1, 5.82512903214
   4.11, 5.81279230118
   4.12, 5.77047777176
   4.13, 5.71293354034
   4.14, 5.66756153107
   4.15, 5.65709638596
   4.16, 5.69197130203
   4.17, 5.77085924149
   4.18, 5.88144111633
   4.19, 5.99674463272
    4.2, 6.07920885086
   4.21, 6.11195993423
   4.22, 6.11922311783
   4.23, 6.13303184509
   4.24, 6.16342163086
   4.25, 6.19777870178
   4.26, 6.21126365662
   4.27, 6.18821048737
   4.28, 6.13977050781
   4.29, 6.09448194504
    4.3, 6.07702922821
   4.31, 6.09953784943
   4.32, 6.16298818588
   4.33, 6.25854825974
   4.34, 6.36553287506
   4.35, 6.45553398132
   4.36, 6.51614570618
   4.37,  6.5615196228
   4.38, 6.60830068588
   4.39, 6.65977334976
    4.4, 6.70554447174
   4.41, 6.72604846954
   4.42, 6.70957660675
   4.43, 6.66906356812
   4.44, 6.63182640076
   4.45, 6.61979055405
   4.46, 6.64323425293
   4.47,  6.7028503418
   4.48, 6.79075288773
   4.49, 6.88901185989
    4.5, 6.97609233856
   4.51, 7.04525089264
   4.52, 7.10498380661
   4.53, 7.16113615036
   4.54, 7.21038103104
   4.55, 7.24006032944
   4.56, 7.23121070862
   4.57, 7.17570447922
   4.58, 7.09122610092
   4.59, 7.00786781311
    4.6, 6.94890594482
   4.61, 6.92672920227
   4.62, 6.94496965408
   4.63, 6.99816274643
   4.64, 7.07035636902
   4.65, 7.14374017715
   4.66, 7.21411275864
   4.67, 7.28580999374
   4.68, 7.35817337036
   4.69, 7.42343378067
    4.7, 7.46562671661
   4.71, 7.46206092834
   4.72, 7.40151882172
   4.73, 7.30197620392
   4.74, 7.19556903839
   4.75, 7.10765743256
   4.76, 7.05305957794
   4.77, 7.03813791275
   4.78, 7.06057786942
   4.79, 7.10926532745
    4.8, 7.17347431183
   4.81, 7.25163888931
   4.82, 7.34370040894
   4.83, 7.44443702698
   4.84, 7.54418516159
   4.85, 7.62734079361
   4.86, 7.67206001282
   4.87, 7.66558361053
   4.88,  7.6202712059
   4.89, 7.56161260605
    4.9,  7.5112786293
   4.91,  7.4833612442
   4.92,  7.4851064682
   4.93, 7.51655054092
   4.94,  7.5724568367
   4.95, 7.64967536926
   4.96, 7.74817466736
   4.97, 7.86428785324
   4.98, 7.98963451385
   4.99, 8.11248397827
      5, 8.21590232849
   5.01, 8.27858066559
   5.02, 8.28939819336
   5.03, 8.25874233246
   5.04, 8.20712280273
   5.05, 8.15311145782
   5.06, 8.11041927338
   5.07, 8.08736515045
   5.08, 8.08632850647
   5.09, 8.10734653473
    5.1, 8.15353298187
   5.11, 8.22716331482
   5.12, 8.32428264618
   5.13, 8.43527984619
   5.14, 8.54620742798
   5.15, 8.63757038116
   5.16, 8.68729877472
   5.17, 8.68423366547
   5.18, 8.63491439819
   5.19, 8.55508995056
    5.2, 8.46165180206
   5.21, 8.36911296844
   5.22, 8.28761196136
   5.23, 8.22375392914
   5.24, 8.18461227417
   5.25, 8.17834377289
   5.26, 8.20911216736
   5.27, 8.27450752258
   5.28, 8.36616611481
   5.29, 8.46954345703
    5.3, 8.56336975098
   5.31, 8.62521648407
   5.32,  8.6431760788
   5.33, 8.61814785004
   5.34, 8.55898189545
   5.35, 8.47859382629
   5.36, 8.39007282257
   5.37, 8.30403900146
   5.38,  8.2299823761
   5.39, 8.17930412292
    5.4, 8.16307735443
   5.41, 8.18771362305
   5.42, 8.25363731384
   5.43, 8.35509300232
   5.44, 8.47895145416
   5.45, 8.60384941101
   5.46, 8.70602989197
   5.47, 8.76949119568
   5.48, 8.78892040253
   5.49, 8.76854801178
    5.5, 8.71933460236
   5.51, 8.65369415283
   5.52,  8.5823431015
   5.53, 8.51560115814
   5.54, 8.46558856964
   5.55, 8.44448661804
   5.56, 8.46122360229
   5.57, 8.51957893372
   5.58, 8.61698436737
   5.59, 8.74297523499
    5.6, 8.87910175323
