PCASP Diameter, Qscat (1.54 + 0.003)
   3.05, 6.02781915665
   3.06,  5.9775056839
   3.07, 6.01000213623
   3.08, 6.07503271103
   3.09, 6.15486097336
    3.1, 6.24887132645
   3.11, 6.36420202255
   3.12, 6.51857185364
   3.13, 6.77981615067
   3.14, 6.93825244904
   3.15, 6.93285799026
   3.16, 6.89093542099
   3.17, 6.77417135239
   3.18, 6.65244579315
   3.19, 6.60991716385
    3.2, 6.52415037155
   3.21,  6.4953660965
   3.22, 6.51001548767
   3.23, 6.54790687561
   3.24, 6.60480356216
   3.25, 6.68381786346
   3.26, 6.79645013809
   3.27, 6.98066949844
   3.28, 7.23254156113
   3.29, 7.29490661621
    3.3, 7.36839723587
   3.31, 7.30863571167
   3.32, 7.13066148758
   3.33, 6.96293783188
   3.34, 6.80783557892
   3.35, 6.69576644897
   3.36, 6.62896490097
   3.37, 6.58672189713
   3.38, 6.56879663467
   3.39, 6.58117580414
    3.4, 6.63249111176
   3.41, 6.74139404297
   3.42, 6.96299934387
   3.43, 7.11525201797
   3.44, 7.33079767227
   3.45, 7.51040554047
   3.46, 7.50306272507
   3.47, 7.34236717224
   3.48, 7.17075681686
   3.49, 7.05896139145
    3.5, 7.00843095779
   3.51, 6.96956443787
   3.52, 6.92762136459
   3.53, 6.89435434341
   3.54, 6.88988018036
   3.55, 6.93392038345
   3.56, 7.06724071503
   3.57,   7.214635849
   3.58, 7.41676092148
   3.59,  7.7097158432
    3.6,  7.9717206955
   3.61, 8.02017688751
   3.62, 7.87488603592
   3.63, 7.73988628387
   3.64, 7.71132993698
   3.65,  7.7223072052
   3.66, 7.70220184326
   3.67, 7.63148975372
   3.68, 7.54227399826
   3.69, 7.48158168793
    3.7, 7.49321126938
   3.71, 7.57510757446
   3.72,  7.6986284256
   3.73,  7.9356379509
   3.74, 8.26489639282
   3.75,  8.5530424118
   3.76,  8.5461101532
   3.77, 8.32782649994
   3.78, 8.21689224243
   3.79, 8.25640201569
    3.8, 8.34386730194
   3.81, 8.35919189453
   3.82, 8.25509548187
   3.83, 8.08515834808
   3.84, 7.93929290771
   3.85,  7.8609995842
   3.86, 7.84681749344
   3.87, 7.94526576996
   3.88, 8.16189193726
   3.89, 8.50040149689
    3.9,  8.8049993515
   3.91, 8.74105739594
   3.92, 8.48279953003
   3.93, 8.37670516968
   3.94, 8.45648765564
   3.95, 8.60989761353
   3.96, 8.67677211761
   3.97, 8.56579399109
   3.98, 8.35032081604
   3.99, 8.15917205811
      4, 8.02630710602
   4.01, 8.01910114288
   4.02, 8.13404750824
   4.03, 8.38545417786
   4.04, 8.78143692017
   4.05, 9.12003707886
   4.06, 9.00984764099
   4.07, 8.73938179016
   4.08, 8.68084144592
   4.09, 8.83078384399
    4.1, 9.07925319672
   4.11, 9.22435951233
   4.12, 9.10253715515
   4.13, 8.80942821503
   4.14, 8.51155090332
   4.15, 8.33508968353
   4.16, 8.30355644226
   4.17, 8.41963195801
   4.18, 8.70284938812
   4.19, 9.17087554932
    4.2, 9.57643508911
   4.21, 9.42869853973
   4.22, 9.18995094299
   4.23, 9.19397735596
   4.24, 9.41277599335
   4.25, 9.77228546143
   4.26, 10.0583276749
   4.27, 10.0039205551
   4.28, 9.67839431763
   4.29, 9.35056495667
    4.3, 9.13774013519
   4.31, 9.06203556061
   4.32, 9.12654590607
   4.33, 9.34877490997
   4.34, 9.76313304901
   4.35, 10.0936002731
   4.36, 9.96151256561
   4.37, 9.85563755035
   4.38, 9.94015598297
   4.39, 10.1854763031
    4.4, 10.5680913925
   4.41, 10.9057722092
   4.42, 10.8591585159
   4.43, 10.5408601761
   4.44, 10.2385082245
   4.45, 10.0496397018
   4.46, 9.98539924622
   4.47, 10.0462560654
   4.48, 10.2614879608
   4.49, 10.6429595947
    4.5, 10.8428936005
   4.51, 10.7237539291
   4.52, 10.7293787003
   4.53, 10.8756580353
   4.54, 11.1391773224
   4.55, 11.5226421356
   4.56, 11.8275136948
   4.57, 11.6749868393
   4.58, 11.2516279221
   4.59,   10.87703228
    4.6, 10.6171140671
   4.61, 10.4761276245
   4.62, 10.4736204147
   4.63, 10.6490983963
   4.64, 10.9912700653
   4.65, 11.0527629852
   4.66, 10.9776382446
   4.67, 11.0751914978
   4.68, 11.2922306061
   4.69, 11.6216278076
    4.7, 12.0846738815
   4.71, 12.4774932861
