CAS Diameter, Qscat (1.33 + 0)
   4.98, 9.42422676086
   4.99, 9.44020271301
      5, 9.48158168793
   5.01, 9.53174495697
   5.02, 9.57281112671
   5.03, 9.66598510742
   5.04, 10.0992660522
   5.05, 10.5663957596
   5.06, 10.7422637939
   5.07, 10.8169221878
   5.08, 10.8607788086
   5.09, 10.8843860626
    5.1, 10.8844747543
   5.11, 10.8496084213
   5.12, 10.7480649948
   5.13, 10.5216140747
   5.14, 10.8574733734
   5.15, 11.3671178818
   5.16, 11.4189252853
   5.17,  11.443406105
   5.18, 11.4743318558
   5.19, 11.4901676178
    5.2, 11.4476251602
   5.21, 11.4006738663
   5.22, 11.8540458679
   5.23, 12.2923049927
   5.24, 12.4774198532
   5.25, 12.5793828964
   5.26,  12.646191597
   5.27, 12.6857872009
   5.28, 12.6939334869
   5.29, 12.6515378952
    5.3, 12.4857158661
   5.31,  12.062748909
   5.32, 12.7216281891
   5.33, 12.9372396469
   5.34, 12.9597187042
   5.35, 12.9634103775
   5.36, 12.9592475891
   5.37, 12.9186649323
   5.38, 12.7500162125
   5.39, 12.5263872147
    5.4, 13.0091991425
   5.41, 13.3400783539
   5.42, 13.4897937775
   5.43, 13.5805044174
   5.44,  13.643327713
   5.45, 13.6841716766
   5.46, 13.6975450516
   5.47, 13.6525688171
   5.48, 13.3679523468
   5.49, 13.1394138336
    5.5, 13.7438688278
   5.51, 13.8421611786
   5.52, 13.8654127121
   5.53, 13.8700304031
   5.54, 13.8566169739
   5.55, 13.7834911346
   5.56, 13.4587583542
   5.57,  13.208937645
   5.58,     13.671875
   5.59, 13.8748626709
    5.6,  13.966504097
   5.61, 14.0190067291
   5.62, 14.0523014069
   5.63, 14.0715532303
   5.64, 14.0708093643
   5.65, 13.9931602478
   5.66, 13.3319616318
   5.67, 13.8466444016
   5.68, 14.0787611008
   5.69, 14.1482601166
    5.7, 14.1869268417
   5.71, 14.2121219635
   5.72, 14.2172899246
   5.73, 14.1339502335
   5.74, 13.5732154846
   5.75, 13.6599969864
   5.76, 13.9703073502
   5.77, 14.0861377716
   5.78, 14.1397657394
   5.79, 14.1679868698
    5.8, 14.1826725006
