CAS Diameter, Qscat (1.54 + 0)
   3.35,   9.047996521
   3.36, 9.14992618561
   3.37, 9.24750137329
   3.38, 9.43528652191
   3.39, 9.60730743408
    3.4, 9.73852348328
   3.41, 9.79794883728
   3.42, 9.79766845703
   3.43, 9.69484996796
   3.44, 9.78659820557
   3.45, 9.74788665771
   3.46, 9.70617485046
   3.47, 9.65688896179
   3.48, 9.59870243073
   3.49, 9.53285217285
    3.5, 9.46342849731
   3.51, 9.39911651611
   3.52, 9.35422706604
   3.53,  9.2435836792
   3.54, 9.26615428925
   3.55,  9.2972869873
   3.56, 9.29594993591
   3.57, 9.22504520416
   3.58, 9.09732723236
   3.59, 8.98830318451
    3.6, 8.86431598663
   3.61, 8.74074745178
   3.62, 8.61339664459
   3.63, 8.47832393646
   3.64, 8.33320617676
   3.65, 8.17836952209
   3.66, 8.01858234406
   3.67, 7.87600469589
   3.68, 7.58539056778
   3.69, 7.50075149536
    3.7, 7.41071271896
   3.71, 7.35397195816
   3.72, 7.26697254181
   3.73, 7.10463666916
   3.74, 6.89860057831
   3.75, 6.71460962296
   3.76, 6.54991054535
   3.77, 6.39799308777
   3.78, 6.25112104416
   3.79, 6.10477113724
    3.8, 5.95653867722
   3.81, 5.80567646027
   3.82, 5.65790367126
   3.83, 5.49488830566
   3.84, 5.31403779984
   3.85, 5.19765138626
   3.86, 5.13321304321
   3.87,  5.1390080452
   3.88, 5.11866760254
   3.89, 4.99252986908
    3.9, 4.81157922745
   3.91, 4.67313766479
   3.92,  4.5753455162
   3.93, 4.50062704086
   3.94, 4.43245649338
   3.95, 4.36492204666
   3.96, 4.29860973358
   3.97, 4.23326635361
   3.98, 4.17933511734
   3.99, 4.11177635193
      4, 4.04997825623
   4.01, 4.01337194443
   4.02, 4.04095077515
   4.03, 4.19180488586
   4.04, 4.41605997086
   4.05, 4.37684631348
   4.06, 4.30482769012
   4.07, 4.28387308121
   4.08,   4.327937603
   4.09, 4.41567516327
    4.1, 4.51242923737
   4.11,  4.5975060463
   4.12, 4.67026376724
   4.13, 4.71681928635
   4.14, 4.85114002228
   4.15, 4.89199352264
   4.16, 4.93992614746
   4.17,  4.9907207489
   4.18, 5.07806634903
   4.19, 5.41595602036
    4.2,  5.7309422493
   4.21, 5.86929273605
   4.22, 5.88605833054
   4.23,  5.9354634285
   4.24, 6.05465316772
   4.25, 6.24765968323
   4.26, 6.47979068756
   4.27, 6.69972324371
   4.28, 6.88004541397
   4.29, 7.13694477081
    4.3, 7.27485704422
   4.31, 7.41906929016
   4.32,  7.5436873436
   4.33, 7.64217805862
   4.34, 7.87762928009
   4.35, 7.95696878433
   4.36, 8.44767856598
   4.37, 8.69363021851
   4.38, 8.75532722473
   4.39, 8.80034637451
    4.4, 8.86933517456
   4.41, 8.99729919434
   4.42, 9.20221233368
   4.43, 9.42808914185
   4.44, 9.69363975525
   4.45, 9.84857177734
   4.46, 10.0056724548
   4.47, 10.1422243118
   4.48, 10.2523994446
   4.49, 10.0308971405
    4.5, 10.3698749542
   4.51, 10.4152078629
   4.52, 10.8320207596
   4.53, 11.0896987915
   4.54, 11.1622304916
   4.55, 11.1877222061
   4.56, 11.1846532822
   4.57, 11.1669397354
   4.58, 11.1933774948
   4.59, 11.3244543076
    4.6, 11.4389305115
   4.61, 11.5273065567
   4.62, 11.5804290771
   4.63, 11.6045160294
   4.64, 11.5554599762
   4.65, 11.5887231827
   4.66,    11.5247612
   4.67, 11.3841705322
   4.68, 11.5499973297
   4.69,  11.699889183
    4.7, 11.7343111038
   4.71,  11.736125946
   4.72, 11.7105073929
   4.73, 11.6312437057
   4.74, 11.4526948929
   4.75, 11.3970556259
   4.76, 11.4166440964
   4.77,  11.420882225
   4.78, 11.3786849976
   4.79, 11.2954778671
    4.8, 11.1874933243
   4.81, 11.0701389313
   4.82, 10.9436626434
   4.83, 10.7216320038
   4.84, 10.5844678879
   4.85, 10.5690088272
   4.86, 10.5271701813
   4.87, 10.4893903732
   4.88, 10.4686288834
   4.89, 10.3934869766
    4.9, 10.2936944962
   4.91, 10.0554742813
   4.92, 9.99065685272
   4.93, 9.96183013916
   4.94, 9.82384490967
   4.95, 9.76375102997
   4.96, 9.61706161499
   4.97,  9.4705286026
   4.98, 9.35961055756
   4.99, 9.25078868866
      5, 8.93769836426
   5.01, 8.82568740845
   5.02, 8.74080371857
   5.03, 8.68076515198
   5.04, 8.62707233429
   5.05, 8.71387767792
   5.06, 8.77938556671
   5.07, 8.54579544067
   5.08, 8.46250247955
   5.09, 8.45131874084
    5.1,  8.4238948822
   5.11, 8.32506847382
   5.12, 8.19188117981
   5.13, 8.05588912964
   5.14, 7.97584342957
   5.15, 8.10051345825
   5.16, 7.77021408081
   5.17, 7.65624809265
   5.18, 7.58868503571
   5.19, 7.53403043747
    5.2, 7.53731060028
   5.21, 7.61888980865
   5.22, 7.89744329453
   5.23, 7.88637781143
   5.24, 7.88508749008
   5.25, 7.99466991425
   5.26, 8.05370044708
   5.27,  8.0307264328
   5.28, 7.94856834412
   5.29, 7.83409500122
    5.3, 7.73018455505
   5.31, 8.07699680328
   5.32, 7.82660961151
   5.33, 7.74382209778
   5.34, 7.70002841949
   5.35, 7.67188882828
   5.36, 7.65092182159
   5.37, 7.65967178345
   5.38, 7.91855192184
   5.39, 8.19261455536
    5.4, 8.30179977417
   5.41, 8.52353858948
   5.42, 8.70812129974
   5.43, 8.79698371887
   5.44, 8.80287265778
   5.45, 8.73268127441
   5.46,  8.5349855423
   5.47, 9.09701633453
   5.48, 8.96878147125
   5.49, 8.92856693268
    5.5, 8.90403175354
   5.51, 8.87160778046
   5.52, 8.81153392792
   5.53, 8.69252586365
   5.54, 8.67210388184
   5.55, 9.12036418915
   5.56, 9.22173404694
   5.57, 9.44183635712
   5.58, 9.66709899902
   5.59, 9.81284809113
    5.6, 9.87550163269
   5.61, 9.82589530945
   5.62, 9.89952659607
   5.63, 10.2651519775
   5.64, 10.2535095215
   5.65,  10.273478508
   5.66,  10.293554306
   5.67, 10.2907581329
   5.68, 10.2375478745
   5.69, 10.0523166656
    5.7, 9.74242115021
   5.71, 10.2378721237
   5.72,   10.22615242
   5.73, 10.3204574585
   5.74, 10.4675006866
   5.75, 10.5692071915
   5.76, 10.6034679413
   5.77, 10.4636087418
   5.78, 10.8879861832
   5.79, 10.9127130508
    5.8, 10.9562263489
   5.81, 11.0153751373
   5.82, 11.0727043152
   5.83, 11.1110925674
   5.84, 11.1060762405
   5.85, 10.9358444214
   5.86, 10.7211275101
   5.87, 11.0380268097
   5.88, 10.9619960785
   5.89, 10.9450759888
    5.9, 11.0050621033
   5.91, 11.0502414703
   5.92, 11.0332965851
   5.93,  10.335896492
   5.94, 11.1578521729
   5.95, 11.1743240356
   5.96, 11.2166614532
   5.97, 11.2731199265
   5.98, 11.3295345306
   5.99, 11.3744039536
      6, 11.3901338577
   6.01, 11.1956558228
   6.02,  11.254442215
   6.03, 11.3656225204
   6.04, 11.3057556152
   6.05, 11.2490997314
   6.06, 11.2661771774
   6.07, 11.2993774414
   6.08, 11.2676210403
   6.09, 11.3212471008
    6.1, 11.3652133942
